Category,Dutch,English
Income, Poverty & Benefits,% Personen in armoede,% Persons in poverty
Income, Poverty & Benefits,% Personen tot 25% boven armoedegrens,% Persons up to 25% above the poverty line
Income, Poverty & Benefits,40% huishoudens met laagste inkomen,40% of households with the lowest income
Income, Poverty & Benefits,20% huishoudens met hoogste inkomen,20% of households with the highest income
Income, Poverty & Benefits,% Huishoudens met een laag inkomen,% Households with a low income
Income, Poverty & Benefits,% Huishoudens onder of rond sociaal minimum,% Households below or around the social minimum
Income, Poverty & Benefits,% Huishoudens tot 110% van sociaal minimum,% Households up to 110% of the social minimum
Income, Poverty & Benefits,% Huishoudens tot 120% van sociaal minimum,% Households up to 120% of the social minimum
Income, Poverty & Benefits,% Personen per soort uitkering - Bijstand,% Persons by type of benefit - Social assistance (Bijstand)
Income, Poverty & Benefits,% Personen per soort uitkering - AO,% Persons by type of benefit - Disability (AO)
Income, Poverty & Benefits,% Personen per soort uitkering - WW,% Persons by type of benefit - Unemployment (WW)
Income, Poverty & Benefits,% Personen per soort uitkering - AOW,% Persons by type of benefit - State pension (AOW)
Origin & Birthplace,% Herkomst Nederland,% Origin Netherlands
Origin & Birthplace,% Herkomst buiten Nederland,% Origin outside the Netherlands
Origin & Birthplace,% Herkomst Europa,% Origin Europe
Origin & Birthplace,% Herkomst buiten Europa,% Origin outside Europe
Origin & Birthplace,% Geboren in Nederland met herkomst Nederland,% Born in the Netherlands with Dutch origin
Origin & Birthplace,% Geboren in Nederland met herkomst Europa,% Born in the Netherlands with European origin
Origin & Birthplace,% Geboren in Nederland met herkomst buiten Nederland,% Born in the Netherlands with origin outside the Netherlands
Origin & Birthplace,% Geboren in Nederland met herkomst buiten Europa,% Born in the Netherlands with origin outside Europe
Origin & Birthplace,% Geboren in Nederland,% Born in the Netherlands
Origin & Birthplace,% Geboren buiten Nederland met herkomst Europa,% Born outside the Netherlands with European origin
Origin & Birthplace,% Geboren buiten Nederland met herkomst buiten Europa,% Born outside the Netherlands with origin outside Europe
Origin & Birthplace,% Geboren buiten Nederland,% Born outside the Netherlands
Housing Characteristics,Dekkingspercentage meest voorkomende postcode,Coverage percentage of the most common postal code
Housing Characteristics,% Koopwoningen,% Owner-occupied homes
Housing Characteristics,% Huurwoningen,% Rental homes
Housing Characteristics,% Huurwoningen woningcorporaties,% Rental homes from housing associations
Housing Characteristics,% Huurwoningen overige verhuurders,% Rental homes from other landlords
Housing Characteristics,% Eigendom onbekend,% Ownership unknown
Housing Characteristics,% Eengezinswoningen,% Single-family homes
Housing Characteristics,% Meergezinswoningen,% Multi-family homes
Housing Characteristics,% Bewoond,% Inhabited
Housing Characteristics,% Onbewoond,% Uninhabited
Housing Characteristics,% Appartementen,% Apartments
Housing Characteristics,% Tussenwoningen,% Terraced houses
Housing Characteristics,% Hoekwoningen,% Corner houses
Housing Characteristics,% Twee-onder-één-kap woningen,% Semi-detached houses
Housing Characteristics,% Vrijstaande woningen,% Detached houses
Housing Characteristics,% Woningtype onbekend,% Housing type unknown
Housing Characteristics,% Woningen met zonnestroom,% Homes with solar power
Housing Characteristics,% Woningen hoofdzakelijk elektrisch verwarmd,% Homes mainly electrically heated
Housing Characteristics,% Woningen met stadsverwarming,% Homes with district heating
Housing Characteristics,% Aardgasvrije woningen,% Natural gas-free homes
Housing Characteristics,% Aardgaswoningen,% Natural gas homes
Housing Characteristics,% Woningen voor 1945,% Homes built before 1945
Housing Characteristics,% Woningen 1945 tot 1965,% Homes 1945 to 1965
Housing Characteristics,% Woningen 1965 tot 1975,% Homes 1965 to 1975
Housing Characteristics,% Woningen 1975 tot 1985,% Homes 1975 to 1985
Housing Characteristics,% Woningen 1985 tot 1995,% Homes 1985 to 1995
Housing Characteristics,% Woningen 1995 tot 2005,% Homes 1995 to 2005
Housing Characteristics,% Woningen 2005 tot 2015,% Homes 2005 to 2015
Housing Characteristics,% Woningen 2015 tot 2025,% Homes 2015 to 2025
Housing Characteristics,% Woningen 2025 en later,% Homes 2025 and later
Housing Characteristics,% Woningen bouwjaar onbekend,% Homes year of construction unknown
