dutch,english
Motorfietsen,Motorcycles
Personenauto's - brandstof benzine,Passenger cars - petrol
Personenauto's - overige brandstof,Passenger cars - other fuel
Personenauto's naar oppervlakte,Passenger cars per area
Personenauto's per huishouden,Passenger cars per household
Personenauto's totaal,Total passenger cars
% Appartementen,% Apartments
% Bewoond,% Occupied
% Eengezinswoningen,% Single-family homes
% Eigendom onbekend,% Ownership unknown
% Hoekwoningen,% Corner houses
% Huurwoningen,% Rental homes
% Huurwoningen overige verhuurders,% Rental homes other landlords
% Huurwoningen woningcorporaties,% Social rental homes
% Koopwoningen,% Owner-occupied homes
% Meergezinswoningen,% Multi-family homes
% Onbewoond,% Unoccupied
% Tussenwoningen,% Terraced houses
% Twee-onder-één-kap woningen,% Semi-detached homes
% Vrijstaande woningen,% Detached homes
% Woningen 1945 tot 1965,% Homes 1945 to 1965
% Woningen 1965 tot 1975,% Homes 1965 to 1975
% Woningen 1975 tot 1985,% Homes 1975 to 1985
% Woningen 1985 tot 1995,% Homes 1985 to 1995
% Woningen 1995 tot 2005,% Homes 1995 to 2005
% Woningen 2005 tot 2015,% Homes 2005 to 2015
% Woningen 2015 tot 2025,% Homes 2015 to 2025
% Woningen 2025 en later,% Homes 2025 and later
% Woningen bouwjaar onbekend,% Homes construction year unknown
% Woningen voor 1945,% Homes before 1945
% Woningtype onbekend,% Housing type unknown
Appartementen,Apartments
Bewoond,Occupied
Eengezinswoningen,Single-family homes
Eigendom onbekend,Ownership unknown
Gemiddelde woningwaarde,Average home value
Hoekwoningen,Corner houses
Huurwoningen,Rental homes
Huurwoningen overige verhuurders,Rental homes other landlords
Huurwoningen woningcorporaties,Social rental homes
Koopwoningen,Owner-occupied homes
Meergezinswoningen,Multi-family homes
Niet-woningvoorraad,Non-residential stock
Nieuwbouw niet-woningen,New non-residential buildings
Nieuwbouw woningen,New residential buildings
Onbewoond,Unoccupied
Tussenwoningen,Terraced houses
Twee-onder-één-kap woningen,Semi-detached homes
Vrijstaande woningen,Detached homes
Woningen 1945 tot 1965,Homes 1945 to 1965
Woningen 1965 tot 1975,Homes 1965 to 1975
Woningen 1975 tot 1985,Homes 1975 to 1985
Woningen 1985 tot 1995,Homes 1985 to 1995
Woningen 1995 tot 2005,Homes 1995 to 2005
Woningen 2005 tot 2015,Homes 2005 to 2015
Woningen 2015 tot 2025,Homes 2015 to 2025
Woningen 2025 en later,Homes 2025 and later
Woningen bouwjaar onbekend,Homes construction year unknown
Woningen per 1.000 inwoners,Homes per 1,000 residents
Woningen voor 1945,Homes before 1945
Woningtype onbekend,Housing type unknown
Woningvoorraad,Housing stock
Woningwaarde klasse,Home value class
